BSC;Site;Nom secteur;Nbre TRX;ID;LAC;Longitude;Latitude
BZBSC3;FERME;FERME7;4;13 697;13;"15°16'25,58""E";"4°13'10,54""S"
BZBSC3;FERME;FERME8;4;13 698;13;"15°16'25,58""E";"4°13'10,54""S"
BZBSC3;FERME;FERME9;4;13 699;13;"15°16'25,58""E";"4°13'10,54""S"
PNBSC1;FOND_TIETIE;FONTI7;6;21 357;21;"11°53'59,46""E";"4°47'53,81""S"
PNBSC1;FOND_TIETIE;FONTI8;6;21 358;21;"11°53'59,46""E";"4°47'53,81""S"
PNBSC1;FOND_TIETIE;FONTI9;6;21 359;21;"11°53'59,46""E";"4°47'53,81""S"
PNBSC2;FORALAC;FORALA1;2;22 241;22;"12°40'25,32""E";"3°26'27,49""S"
PNBSC2;FORALAC;FORALA2;2;22 242;22;"12°40'25,32""E";"3°26'27,49""S"
PNBSC2;FORALAC;FORALA3;2;22 243;22;"12°40'25,32""E";"3°26'27,49""S"
PNBSC3;FOREMAN;FOREMA7;4;23 637;23;"11°52'22,14""E";"4°46'56,49""S"
PNBSC3;FOREMAN;FOREMA8;4;23 638;23;"11°52'22,14""E";"4°46'56,49""S"
PNBSC3;FOREMAN;FOREMA9;4;23 639;23;"11°52'22,14""E";"4°46'56,49""S"
PNBSC3;FOUKS;FOUCS7;4;23 357;23;"11°52'47,21""E";"4°46'43,82""S"
PNBSC3;FOUKS;FOUCS8;4;23 358;23;"11°52'47,21""E";"4°46'43,82""S"
PNBSC3;FOUKS;FOUCS9;4;23 359;23;"11°52'47,21""E";"4°46'43,82""S"
PNBSC1;FOUTA;FUTA11;2;21 361;21;"11°58'42""E";"4°57'35""S"
PNBSC1;FOUTA;FUTA12;2;21 362;21;"11°58'42""E";"4°57'35""S"
PNBSC1;FOUTA;FUTA13;2;21 363;21;"11°58'42""E";"4°57'35""S"
BZBSC2;GAMBOMA;GMBOMA1;4;12 431;12;"15°52'23,5""E";"1°52'22,5""S"
BZBSC2;GAMBOMA;GMBOMA2;4;12 432;12;"15°52'23,5""E";"1°52'22,5""S"
BZBSC2;GAMBOMA;GMBOMA3;2;12 433;12;"15°52'23,5""E";"1°52'22,5""S"
PNBSC2;GARETHOMAS;THOMAS1;2;22 441;22;"12°39'25,6""E";"3°4'41,2""S"
PNBSC2;GARETHOMAS;THOMAS2;2;22 442;22;"12°39'25,6""E";"3°4'41,2""S"
PNBSC2;GARETHOMAS;THOMAS3;2;22 443;22;"12°39'25,6""E";"3°4'41,2""S"
PNBSC1;GAYA;GAYYA11;4;21 381;21;"11°52'57,1""E";"4°49'58,1""S"
PNBSC1;GAYA;GAYYA12;2;21 382;21;"11°52'57,1""E";"4°49'58,1""S"
PNBSC1;GAYA;GAYYA13;2;21 383;21;"11°52'57,1""E";"4°49'58,1""S"
PNBSC1;GAYA;GAYYA17;2;21 387;21;"11°52'57,1""E";"4°49'58,1""S"
PNBSC1;GAYA;GAYYA18;2;21 388;21;"11°52'57,1""E";"4°49'58,1""S"
PNBSC1;GAYA;GAYYA19;2;21 389;21;"11°52'57,1""E";"4°49'58,1""S"
BZBSC2;GOMATSETSE;GOMATS1;4;15 271;15;"15°6'31,2""E";"4°15'1,7""S"
BZBSC2;GOMATSETSE;GOMATS2;4;15 272;15;"15°6'31,2""E";"4°15'1,7""S"
BZBSC2;GOMATSETSE;GOMATS3;4;15 273;15;"15°6'31,2""E";"4°15'1,7""S"
PNBSC2;HINDA;HINDA1;2;22 111;22;"12°2'35,8""E";"4°36'28,4""S"
PNBSC2;HINDA;HINDA2;2;22 112;22;"12°2'35,8""E";"4°36'28,4""S"
PNBSC2;HINDA;HINDA3;2;22 113;22;"12°2'35,8""E";"4°36'28,4""S"
BZBSC3;HQ_BZV;HQMTN7;6;13 407;13;"15°17'7,44""E";"4°16'30,61""S"
BZBSC3;HQ_BZV;HQMTN9;6;13 409;13;"15°17'7,44""E";"4°16'30,61""S"
PNBSC3;HQ-PNR;HQPN1;4;23 361;23;"11°50'23,28""E";"4°47'59,82""S"
PNBSC3;HQ-PNR;HQPN2;4;23 362;23;"11°50'23,28""E";"4°47'59,82""S"
PNBSC3;HQ-PNR;HQPN3;2;23 363;23;"11°50'23,28""E";"4°47'59,82""S"
PNBSC3;HQ-PNR;HQPN7;4;23 367;23;"11°50'23,28""E";"4°47'59,82""S"
PNBSC3;HQ-PNR;HQPN8;4;23 368;23;"11°50'23,28""E";"4°47'59,82""S"
PNBSC3;HQ-PNR;HQPN9;2;23 369;23;"11°50'23,28""E";"4°47'59,82""S"
BZBSC2;IBEKE;IBEKE1;2;12 441;12;"15°54'24,1""E";"0°41'8,5""S"
BZBSC2;IBEKE;IBEKE2;2;12 442;12;"15°54'24,1""E";"0°41'8,5""S"
BZBSC2;IBEKE;IBEKE3;2;12 443;12;"15°54'24,1""E";"0°41'8,5""S"
BZBSC2;IBELIMA;IBELI1;2;12 451;12;"15°20'49,5""E";"0°35'12,5""N"
BZBSC2;IBELIMA;IBELI2;2;12 452;12;"15°20'49,5""E";"0°35'12,5""N"
BZBSC2;IBELIMA;IBELI3;2;12 453;12;"15°20'49,5""E";"0°35'12,5""N"
BZBSC2;IMBAMA;IMBAM1;2;12 071;12;"15°40'0,48""E";"3°27'56,48""S"
BZBSC2;IMBAMA;IMBAM2;2;12 072;12;"15°40'0,48""E";"3°27'56,48""S"
BZBSC2;IMBAMA;IMBAM3;2;12 073;12;"15°40'0,48""E";"3°27'56,48""S"
BZBSC2;IMBOULOU;IMBOUL1;2;12 081;12;"16°2'39,84""E";"2°58'57,9""S"
BZBSC2;IMBOULOU;IMBOUL2;2;12 082;12;"16°2'39,84""E";"2°58'57,9""S"
HWBSC01;IMPFONDO1;MFODO11;4;12 551;12;"18°3'49""E";"1°37'0""N"
HWBSC01;IMPFONDO1;MFODO12;4;12 552;12;"18°3'49""E";"1°37'0""N"
HWBSC01;IMPFONDO1;MFODO13;4;12 553;12;"18°3'49""E";"1°37'0""N"
HWBSC01;IMPFONDO2;MFODO21;2;14 191;14;"18°3'36""E";"1°34'31,8""N"
HWBSC01;IMPFONDO2;MFODO22;2;14 192;14;"18°3'36""E";"1°34'31,8""N"
HWBSC01;IMPFONDO2;MFODO23;2;14 193;14;"18°3'36""E";"1°34'31,8""N"
BZBSC2;INGOUELE;INGOUE1;2;12 091;12;"16°8'34,8""E";"1°53'8,02""S"
BZBSC2;INGOUELE;INGOUE2;2;12 092;12;"16°8'34,8""E";"1°53'8,02""S"
BZBSC2;INGOUELE;INGOUE3;2;12 093;12;"16°8'34,8""E";"1°53'8,02""S"
HWBSC01;IPENDZA;INPENZ1;2;14 041;14;"17°11'0,24""E";"2°37'58,3""N"
HWBSC01;IPENDZA;INPENZ2;2;14 042;14;"17°11'0,24""E";"2°37'58,3""N"
BZBSC3;JACQUES_OPANGAULT;OPANGO1;2;13 321;13;"15°16'3,9""E";"4°11'38,22""S"
BZBSC3;JACQUES_OPANGAULT;OPANGO2;2;13 322;13;"15°16'3,9""E";"4°11'38,22""S"
BZBSC3;JACQUES_OPANGAULT;OPANGO3;2;13 323;13;"15°16'3,9""E";"4°11'38,22""S"
BZBSC3;JEANNE_VIALLE;VIALLE1;4;13 441;13;"15°16'41,3""E";"4°14'59,39""S"
BZBSC3;JEANNE_VIALLE;VIALLE2;2;13 442;13;"15°16'41,3""E";"4°14'59,39""S"
BZBSC3;JEANNE_VIALLE;VIALLE3;4;13 443;13;"15°16'41,3""E";"4°14'59,39""S"
BZBSC3;JEANNE_VIALLE;VIALLE7;4;13 447;13;"15°16'41,3""E";"4°14'59,39""S"
BZBSC3;JEANNE_VIALLE;VIALLE8;4;13 448;13;"15°16'41,3""E";"4°14'59,39""S"
BZBSC3;JEANNE_VIALLE;VIALLE9;4;13 449;13;"15°16'41,3""E";"4°14'59,39""S"
HWBSC01;KABO;KABO1;2;14 021;14;"16°5'8,52""E";"2°3'4,61""N"
HWBSC01;KABO;KABO2;2;14 022;14;"16°5'8,52""E";"2°3'4,61""N"
HWBSC01;KABO;KABO3;2;14 023;14;"16°5'8,52""E";"2°3'4,61""N"
