Longitude;Latitude
15,16,6.96;4,10,5.16
15,16,6.96;4,10,5.16
15,16,6.96;4,10,5.16
15,13,21.22;4,16,12.36
15,13,21.22;4,16,12.36
15,13,21.22;4,16,12.36
15,13,21.22;4,16,12.36
15,13,21.22;4,16,12.36
15,13,21.22;4,16,12.36
12,43,25.32;2,30,13.5
12,43,25.32;2,30,13.5
12,43,25.32;2,30,13.5
14,42,38.5;4,15,34
14,42,38.5;4,15,34
14,42,38.5;4,15,34
15,14,8.43;4,18,19.25
15,14,8.43;4,18,19.25
15,14,8.43;4,18,19.25
15,43,53.1;3,57,7.9
15,43,53.1;3,57,7.9
15,43,53.1;3,57,7.9
11,52,45;4,47,17
11,52,45;4,47,17
11,52,45;4,47,17
11,52,45;4,47,17
11,52,45;4,47,17
11,52,45;4,47,17
14,52,45.84;3,49,57.79
14,52,45.84;3,49,57.79
14,52,45.84;3,49,57.79
15,11,56.65;4,17,31.42
15,11,56.65;4,17,31.42
15,11,56.65;4,17,31.42
13,38,27.24;3,40,55.42
13,38,27.24;3,40,55.42
13,38,27.24;3,40,55.42
15,11,30.59;4,16,41.64
15,11,30.59;4,16,41.64
15,11,30.59;4,16,41.64
12,48,31.9;2,17,6.6
12,48,31.9;2,17,6.6
12,48,31.9;2,17,6.6
15,15,33.62;4,13,46.67
15,15,33.62;4,13,46.67
15,15,33.62;4,13,46.67
15,15,33.62;4,13,46.67
15,15,33.62;4,13,46.67
15,15,33.62;4,13,46.67
15,0,41.9;4,30,44.1
15,0,41.9;4,30,44.1
15,0,41.9;4,30,44.1
13,40,37.2;4,11,21.01
13,40,37.2;4,11,21.01
13,40,37.2;4,11,21.01
12,52,21.1;2,6,10.8
12,52,21.1;2,6,10.8
12,52,21.1;2,6,10.8
11,53,51;4,46,36
11,53,51;4,46,36
11,53,51;4,46,36
11,53,51;4,46,36
11,53,51;4,46,36
11,53,51;4,46,36
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
17,8,43.8;"1,41,0.82""N"
17,8,43.8;"1,41,0.82""N"
17,8,43.8;"1,41,0.82""N"
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,39,31;3,1,33.1
15,39,31;3,1,33.1
15,39,31;3,1,33.1
14,57,10.8;4,22,5.81
14,57,10.8;4,22,5.81
14,57,10.8;4,22,5.81
12,4,36.7;4,31,53.6
12,4,36.7;4,31,53.6
12,4,36.7;4,31,53.6
11,57,24;4,39,45
15,16,37.21;4,16,2.97
15,16,37.21;4,16,2.97
15,16,37.21;4,16,2.97
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,48;4,14,27
15,13,48;4,14,27
15,13,48;4,14,27
13,0,0;4,0,0
13,0,0;4,0,0
13,0,0;4,0,0
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,0,32;"1,36,20.1""N"
15,0,32;"1,36,20.1""N"
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
13,20,48.9;3,45,23.2
13,20,48.9;3,45,23.2
13,20,48.9;3,45,23.2
14,21,0;4,16,18.41
14,21,0;4,16,18.41
14,21,0;4,16,18.41
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
14,28,34.46;4,16,51.38
14,28,34.46;4,16,51.38
14,28,34.46;4,16,51.38
15,29,41.8;"0,16,25.8""N"
15,29,41.8;"0,16,25.8""N"
15,29,41.8;"0,16,25.8""N"
15,56,53.5;"1,32,19.6""N"
15,56,53.5;"1,32,19.6""N"
15,56,53.5;"1,32,19.6""N"
11,51,51;4,42,57
11,51,51;4,42,57
11,51,51;4,42,57
11,55,25.68;4,46,25.93
11,55,25.68;4,46,25.93
11,55,25.68;4,46,25.93
11,54,26;4,44,40
11,54,26;4,44,40
11,54,26;4,44,40
11,54,26;4,44,40
11,54,26;4,44,40
11,54,26;4,44,40
11,55,27.84;4,43,44
11,55,27.84;4,43,44
11,55,27.84;4,43,44
15,19,37.31;4,7,56.75
15,19,37.31;4,7,56.75
12,54,48.1;4,7,28.5
16,47,47.9;1,13,28.4
16,47,47.9;1,13,28.4
16,47,47.9;1,13,28.4
12,43,7.7;2,56,44.5
12,43,7.7;2,56,44.5
12,43,7.7;2,56,44.5
17,10,53.76;"3,22,32.48""N"
17,10,53.76;"3,22,32.48""N"
17,10,53.76;"3,22,32.48""N"
13,34,41.67;2,50,18.53
13,34,41.67;2,50,18.53
13,34,41.67;2,50,18.53
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
13,46,35.41;3,52,45.25
13,46,35.41;3,52,45.25
13,46,35.41;3,52,45.25
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,40.4;4,15,15.4
15,16,40.4;4,15,15.4
15,16,40.4;4,15,15.4
15,13,3.25;4,15,48.02
15,13,3.25;4,15,48.02
15,13,3.25;4,15,48.02
13,55,12.9;3,59,46.9
13,55,12.9;3,59,46.9
13,55,12.9;3,59,46.9
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
14,9,55.08;4,22,3
14,9,55.08;4,22,3
14,9,55.08;4,22,3
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,50.32;4,15,50.8
15,17,50.32;4,15,50.8
15,17,50.32;4,15,50.8
15,17,50.32;4,15,50.8
15,17,50.32;4,15,50.8
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,53,59.4;1,40,41.2
15,53,59.4;1,40,41.2
15,53,59.4;1,40,41.2
15,15,18.61;4,18,5.85
15,15,18.61;4,18,5.85
15,15,18.61;4,18,5.85
11,51,7.3;4,48,32.3
